protein name	average rank	rank(gcn)	rank(node2vec)	proximity to Covid-19(gcn)	proximity to Covid-19(node2vec)	shortest path to Covid-19	path length	involved pathway id	involved pathway name
CHPF2	3.0	5	1	0.7987638801994787	5.318296341273802	CHPF2, covid-19	1		
ALG11	4.0	8	0	0.7631794479106909	5.341979018242047	ALG11, covid-19	1		
UGGT2	6.5	3	10	0.8931746561503917	4.920594333145116	UGGT2, covid-19	1		
ATP13A3	16.0	4	28	0.8289432482904578	4.750693904399541	ATP13A3, covid-19	1		
UBAP2	28.5	35	22	0.527640333117508	4.773599217811229	UBAP2, covid-19	1		
SDF2	29.0	7	51	0.7683539864754332	4.647349478415795	SDF2, covid-19	1		
TIMM8B	31.5	19	44	0.6313554299920378	4.6759952808822085	TIMM8B, covid-19	1		
RBM41	31.5	13	50	0.6727556513795576	4.6475465921868135	RBM41, covid-19	1		
MFGE8	34.5	54	15	0.4645636823789245	4.852292167923827	MFGE8, covid-19	1		
GDF15	37.0	39	35	0.49881179345416693	4.710631969619703	GDF15, covid-19	1	GO:0060395	SMAD protein signal transduction
NDUFAF2	37.0	56	18	0.44481141776294886	4.835656063504592	NDUFAF2, covid-19	1		
GGH	37.5	11	64	0.6944991393906302	4.58988790286509	GGH, covid-19	1		
GPAA1	38.5	61	16	0.42666078160420184	4.841180320404137	GPAA1, covid-19	1		
NOL10	42.5	66	19	0.4204572654947119	4.815673195400897	NOL10, covid-19	1		
PRRC2B	43.5	1	86	0.9591127411546952	4.5025344535028005	PRRC2B, covid-19	1		
TM2D3	44.0	15	73	0.6499774719635996	4.557865325134886	TM2D3, covid-19	1		
SLC30A7	45.0	83	7	0.3947990890904502	4.96518832364592	SLC30A7, covid-19	1		
TARS2	45.0	9	81	0.7075363771504765	4.523787987157396	TARS2, covid-19	1		
HSBP1	45.0	36	54	0.5101411992535707	4.642925287957359	HSBP1, covid-19	1		
NUP88	46.5	32	61	0.541661312235971	4.59970064735881	NUP88, covid-19	1		
CCDC86	47.5	69	26	0.4114626575979143	4.761018218642443	CCDC86, covid-19	1		
PIGF	49.0	67	31	0.4186994842471444	4.740214354632083	PIGF, PIGO, covid-19	2		
DDX10	50.5	84	17	0.3944035156751501	4.835840804911763	DDX10, covid-19	1		
COLGALT1	51.0	40	62	0.49868044481444157	4.597059070934498	COLGALT1, covid-19	1		
YIF1A	52.0	70	34	0.41067845280036747	4.712445562002674	YIF1A, covid-19	1		
ZNF318	54.0	59	49	0.42762599072943747	4.65377542410849	ZNF318, covid-19	1		
RRP9	57.0	91	23	0.38712911120131627	4.772178755726113	RRP9, covid-19	1		
TOMM70	62.0	121	3	0.35649527729448904	5.113666262669287	TOMM70, covid-19	1		
PLD3	62.5	6	119	0.7762622624132459	4.351033481318398	PLD3, covid-19	1		
PIGO	64.0	122	6	0.3553671893163347	5.004767928688463	PIGO, covid-19	1		
CWC27	66.0	33	99	0.535756266667383	4.430121886398927	CWC27, covid-19	1		
FKBP7	68.0	49	87	0.47714076094774144	4.49618285265792	FKBP7, covid-19	1		
EIF4H	69.0	20	118	0.6279692397676859	4.352512755276103	EIF4H, covid-19	1		
NLRX1	72.5	16	129	0.6498152483772186	4.328099043571536	NLRX1, covid-19	1		
SLC30A6	75.5	126	25	0.35444478877959207	4.764903011680325	SLC30A6, covid-19	1		
MOGS	76.5	17	136	0.6479154754038279	4.309508259535451	MOGS, covid-19	1		
NUP210	77.5	0	155	0.9690626338731163	4.2012051180130685	NUP210, covid-19	1		
PIGS	85.5	86	85	0.392744983542174	4.5042252164352	PIGS, covid-19	1		
TREH	88.5	166	11	0.3268790351293455	4.912775206587446	TREH, GPAA1, covid-19	2		
DPY19L1	93.0	182	4	0.3193125031512839	5.028601718281191	DPY19L1, covid-19	1		
MIB1	95.5	45	146	0.4813598219661965	4.2797153303065105	MIB1, covid-19	1		
GOLGA3	96.5	12	181	0.6765677075408749	4.0755189199761315	GOLGA3, covid-19	1		
RBM28	98.0	29	167	0.5458786269392415	4.144052353403975	RBM28, covid-19	1		
FKBP10	99.5	52	147	0.46798282904278665	4.272231024071215	FKBP10, covid-19	1		
ERMP1	103.0	135	71	0.3507845205899164	4.571353813543413	ERMP1, covid-19	1		
TIMM9	103.0	158	48	0.3335205746991021	4.662673228905342	TIMM9, covid-19	1	GO:0045039, GO:0072321	protein import into mitochondrial inner membrane, chaperone-mediated protein transport
CLCC1	105.0	101	109	0.3762064346335137	4.389660623628034	CLCC1, covid-19	1		
PVR	108.5	46	171	0.4809802139116165	4.136921508859342	PVR, covid-19	1	GO:0002860, GO:0045954, GO:0042271, GO:0060370	positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target, positive regulation of natural killer cell mediated cytotoxicity, susceptibility to natural killer cell mediated cytotoxicity, susceptibility to T cell mediated cytotoxicity
MRPS25	110.0	167	53	0.3267109747859297	4.645016607749757	MRPS25, covid-19	1		
TIMM10	111.0	148	74	0.33872572777354715	4.556697895937458	TIMM10, covid-19	1	GO:0045039, GO:0072321	protein import into mitochondrial inner membrane, chaperone-mediated protein transport
ALG5	113.0	199	27	0.3080498101757007	4.752516307103027	ALG5, covid-19	1		
HECTD1	114.5	31	198	0.5423562579332937	4.009455037575351	HECTD1, covid-19	1		
MDN1	114.5	23	206	0.5769429767736924	3.97874969565572	MDN1, covid-19	1		
GTF2F2	118.5	24	213	0.5728607245312547	3.950964798373312	GTF2F2, covid-19	1		
DNAJC11	120.0	48	192	0.47751004482434	4.0346245739366715	DNAJC11, covid-19	1		
AP2A2	120.5	18	223	0.633014052770268	3.9199571899697028	AP2A2, covid-19	1		
GRPEL1	128.0	21	235	0.6275691580580101	3.8656904475365663	GRPEL1, covid-19	1		
ZC3H18	128.5	60	197	0.4272449356838532	4.011569188966506	ZC3H18, covid-19	1		
ARL6IP6	134.0	238	30	0.29129288443111456	4.743118228219098	ARL6IP6, covid-19	1		
TIGIT	136.5	37	236	0.5050371365884938	3.8655259776652646	TIGIT, PVR, covid-19	2	GO:0032695, GO:0032733, GO:0050868	negative regulation of interleukin-12 production, positive regulation of interleukin-10 production, negative regulation of T cell activation
XKR4	136.5	259	14	0.278514314246166	4.899845502959742	XKR4, CEP135, covid-19	2		
MYCBP2	137.0	34	240	0.5278350053419232	3.8535886166311974	MYCBP2, covid-19	1		
CYB5B	139.0	195	83	0.3108632912895197	4.516987137807742	CYB5B, covid-19	1		
USP54	140.0	234	46	0.29236932930939963	4.670081921641289	USP54, covid-19	1		
GRIPAP1	141.0	142	140	0.34543804744505946	4.303759556653805	GRIPAP1, covid-19	1		
ELOB	142.5	265	20	0.2756266777064497	4.814945112380872	ELOB, covid-19	1		
HS2ST1	143.0	262	24	0.27752663490894336	4.7707111363655095	HS2ST1, covid-19	1		
PABPC4	145.5	2	289	0.9121385423302049	3.62472708506585	PABPC4, covid-19	1		
SLC25A21	147.0	205	89	0.30390169303286796	4.487527966692492	SLC25A21, covid-19	1		
PRIM1	147.0	254	40	0.283120316806762	4.69063715387423	PRIM1, covid-19	1		
EMC1	149.5	176	123	0.3217599527826423	4.342009964524438	EMC1, covid-19	1		
TMEM39B	150.0	291	9	0.26645116380857176	4.944366860829366	TMEM39B, covid-19	1		
SPNS3	152.0	172	132	0.3246047010582624	4.3157775140588575	SPNS3, CLCC1, covid-19	2		
GFER	154.5	170	139	0.3252925449541225	4.305828413143726	GFER, covid-19	1		
NUP54	155.0	228	82	0.2952792163591451	4.518659735688803	NUP54, covid-19	1		
PPIL3	158.0	165	151	0.32724236149313024	4.232182126823279	PPIL3, covid-19	1		
ADAMTS1	161.0	277	45	0.27061778440284234	4.671354726212696	ADAMTS1, covid-19	1		
QSOX2	163.0	256	70	0.28122490002164724	4.574814118042112	QSOX2, covid-19	1		
TCF23	168.5	137	200	0.3481503062538784	3.999024965722705	TCF23, TCF12, covid-19	2		
DCAKD	170.0	283	57	0.2690317254222628	4.6215929730381475	DCAKD, covid-19	1		
BTN3A2	172.0	71	273	0.4095604587262388	3.6943496558738738	BTN3A2, BTN3A3, CSNK2B, covid-19	3	GO:0002456, GO:0072643	T cell mediated immunity, interferon-gamma secretion
FAM8A1	173.5	270	77	0.27417556207606464	4.539122118124815	FAM8A1, covid-19	1		
MRPS5	180.0	217	143	0.2985335536847497	4.282228567213956	MRPS5, covid-19	1		
KRT26	190.5	79	302	0.39867463298950023	3.590848067133745	KRT26, LARP7, covid-19	2		
IFNA2	191.5	50	333	0.47637288793738025	3.502110735638895	IFNA2, IFIT3, PABPC4, covid-19	3	GO:0045892, GO:0042327, GO:0010629, GO:0045893, GO:0045581, GO:0051607, GO:0042531, GO:0046597, GO:2000552, GO:2000663, GO:2000666	negative regulation of transcription, DNA-templated, positive regulation of phosphorylation, negative regulation of gene expression, positive regulation of transcription, DNA-templated, negative regulation of T cell differentiation, defense response to virus, positive regulation of tyrosine phosphorylation of STAT protein, negative regulation of viral entry into host cell, negative regulation of T-helper 2 cell cytokine production, negative regulation of interleukin-5 secretion, negative regulation of interleukin-13 secretion
RAE1	194.5	187	202	0.31401330310355824	3.997340608800985	RAE1, covid-19	1	GO:0060236	regulation of mitotic spindle organization
TCF12	198.0	119	277	0.35870061964372013	3.680200243652426	TCF12, covid-19	1	GO:0045944	positive regulation of transcription by RNA polymerase II
CRTC3	208.5	339	78	0.2522331865800834	4.537702962407196	CRTC3, covid-19	1	GO:0042116	macrophage activation
