Perturbed_gene	Pathway_ID	Pathway_name
IFNA7	GO:0005125	cytokine activity
IFNL1	GO:0005125	cytokine activity
IFNL2	GO:0005125	cytokine activity
IFNA8	GO:0005125	cytokine activity
IFNA2	GO:0005125	cytokine activity
IFNA16	GO:0005125	cytokine activity
IFNW1	GO:0005125	cytokine activity
IFNB1	GO:0005125	cytokine activity
IFNL3	GO:0005125	cytokine activity
IL12A	GO:0005125	cytokine activity
CSF3	GO:0005125	cytokine activity
TNFSF10	GO:0005125	cytokine activity
IL17C	GO:0005125	cytokine activity
IL11	GO:0005125	cytokine activity
CSF2	GO:0005125	cytokine activity
CSF1	GO:0005125	cytokine activity
TSLP	GO:0005125	cytokine activity
VSTM1	GO:0005125	cytokine activity
CXCL9	GO:0005125	cytokine activity
TNFSF13B	GO:0005125	cytokine activity
TNFSF18	GO:0005125	cytokine activity
IL6	GO:0005125	cytokine activity
TNF	GO:0005125	cytokine activity
LTA	GO:0005125	cytokine activity
TNFSF14	GO:0005125	cytokine activity
IFNA7	GO:0005126	cytokine receptor binding
IFNL1	GO:0005126	cytokine receptor binding
IFNA8	GO:0005126	cytokine receptor binding
IFNA2	GO:0005126	cytokine receptor binding
IFNA16	GO:0005126	cytokine receptor binding
IFNW1	GO:0005126	cytokine receptor binding
IFNB1	GO:0005126	cytokine receptor binding
IL12A	GO:0005126	cytokine receptor binding
JAK2	GO:0005126	cytokine receptor binding
CSF3	GO:0005126	cytokine receptor binding
TNFSF10	GO:0005126	cytokine receptor binding
IL11	GO:0005126	cytokine receptor binding
CSF2	GO:0005126	cytokine receptor binding
CSF1	GO:0005126	cytokine receptor binding
TSLP	GO:0005126	cytokine receptor binding
CXCL9	GO:0005126	cytokine receptor binding
TNFSF13B	GO:0005126	cytokine receptor binding
TNFSF18	GO:0005126	cytokine receptor binding
IL6	GO:0005126	cytokine receptor binding
TNF	GO:0005126	cytokine receptor binding
LTA	GO:0005126	cytokine receptor binding
TNFSF14	GO:0005126	cytokine receptor binding
IFNA7	GO:0048018	receptor ligand activity
IFNL1	GO:0048018	receptor ligand activity
IFNL2	GO:0048018	receptor ligand activity
IFNA8	GO:0048018	receptor ligand activity
IFNA2	GO:0048018	receptor ligand activity
IFNA16	GO:0048018	receptor ligand activity
IFNW1	GO:0048018	receptor ligand activity
IFNB1	GO:0048018	receptor ligand activity
IFNL3	GO:0048018	receptor ligand activity
IL12A	GO:0048018	receptor ligand activity
CSF3	GO:0048018	receptor ligand activity
TNFSF10	GO:0048018	receptor ligand activity
IL17C	GO:0048018	receptor ligand activity
IL11	GO:0048018	receptor ligand activity
CSF2	GO:0048018	receptor ligand activity
CSF1	GO:0048018	receptor ligand activity
TSLP	GO:0048018	receptor ligand activity
VSTM1	GO:0048018	receptor ligand activity
CXCL9	GO:0048018	receptor ligand activity
TNFSF13B	GO:0048018	receptor ligand activity
TNFSF18	GO:0048018	receptor ligand activity
IL6	GO:0048018	receptor ligand activity
TNF	GO:0048018	receptor ligand activity
LTA	GO:0048018	receptor ligand activity
TNFSF14	GO:0048018	receptor ligand activity
IFNA7	GO:0030546	signaling receptor activator activity
IFNL1	GO:0030546	signaling receptor activator activity
IFNL2	GO:0030546	signaling receptor activator activity
IFNA8	GO:0030546	signaling receptor activator activity
IFNA2	GO:0030546	signaling receptor activator activity
IFNA16	GO:0030546	signaling receptor activator activity
IFNW1	GO:0030546	signaling receptor activator activity
IFNB1	GO:0030546	signaling receptor activator activity
IFNL3	GO:0030546	signaling receptor activator activity
IL12A	GO:0030546	signaling receptor activator activity
CSF3	GO:0030546	signaling receptor activator activity
TNFSF10	GO:0030546	signaling receptor activator activity
IL17C	GO:0030546	signaling receptor activator activity
IL11	GO:0030546	signaling receptor activator activity
CSF2	GO:0030546	signaling receptor activator activity
CSF1	GO:0030546	signaling receptor activator activity
TSLP	GO:0030546	signaling receptor activator activity
VSTM1	GO:0030546	signaling receptor activator activity
CXCL9	GO:0030546	signaling receptor activator activity
TNFSF13B	GO:0030546	signaling receptor activator activity
TNFSF18	GO:0030546	signaling receptor activator activity
IL6	GO:0030546	signaling receptor activator activity
TNF	GO:0030546	signaling receptor activator activity
LTA	GO:0030546	signaling receptor activator activity
TNFSF14	GO:0030546	signaling receptor activator activity
IFNA7	GO:0030545	receptor regulator activity
IFNL1	GO:0030545	receptor regulator activity
IFNL2	GO:0030545	receptor regulator activity
IFNA8	GO:0030545	receptor regulator activity
IFNA2	GO:0030545	receptor regulator activity
IFNA16	GO:0030545	receptor regulator activity
IFNW1	GO:0030545	receptor regulator activity
IFNB1	GO:0030545	receptor regulator activity
IFNL3	GO:0030545	receptor regulator activity
IL12A	GO:0030545	receptor regulator activity
CSF3	GO:0030545	receptor regulator activity
TNFSF10	GO:0030545	receptor regulator activity
IL17C	GO:0030545	receptor regulator activity
IL11	GO:0030545	receptor regulator activity
CSF2	GO:0030545	receptor regulator activity
CSF1	GO:0030545	receptor regulator activity
TSLP	GO:0030545	receptor regulator activity
VSTM1	GO:0030545	receptor regulator activity
CXCL9	GO:0030545	receptor regulator activity
TNFSF13B	GO:0030545	receptor regulator activity
TNFSF18	GO:0030545	receptor regulator activity
IL6	GO:0030545	receptor regulator activity
TNF	GO:0030545	receptor regulator activity
LTA	GO:0030545	receptor regulator activity
TNFSF14	GO:0030545	receptor regulator activity
IFNA7	GO:0005102	signaling receptor binding
SOCS1	GO:0005102	signaling receptor binding
IFNL1	GO:0005102	signaling receptor binding
IFNL2	GO:0005102	signaling receptor binding
IFNA8	GO:0005102	signaling receptor binding
IFNA2	GO:0005102	signaling receptor binding
IFNA16	GO:0005102	signaling receptor binding
IFNW1	GO:0005102	signaling receptor binding
IFNB1	GO:0005102	signaling receptor binding
IFNL3	GO:0005102	signaling receptor binding
IL12A	GO:0005102	signaling receptor binding
JAK2	GO:0005102	signaling receptor binding
OASL	GO:0005102	signaling receptor binding
CSF3	GO:0005102	signaling receptor binding
TNFSF10	GO:0005102	signaling receptor binding
IL17C	GO:0005102	signaling receptor binding
IL11	GO:0005102	signaling receptor binding
CSF2	GO:0005102	signaling receptor binding
CLEC7A	GO:0005102	signaling receptor binding
CSF1	GO:0005102	signaling receptor binding
TSLP	GO:0005102	signaling receptor binding
VSTM1	GO:0005102	signaling receptor binding
CXCL9	GO:0005102	signaling receptor binding
TNFSF13B	GO:0005102	signaling receptor binding
TNFSF18	GO:0005102	signaling receptor binding
IL6	GO:0005102	signaling receptor binding
TNF	GO:0005102	signaling receptor binding
LTA	GO:0005102	signaling receptor binding
TNFSF14	GO:0005102	signaling receptor binding
IFNA7	GO:0098772	molecular function regulator
SOCS1	GO:0098772	molecular function regulator
IFNL1	GO:0098772	molecular function regulator
IFNL2	GO:0098772	molecular function regulator
IFNA8	GO:0098772	molecular function regulator
IFNA2	GO:0098772	molecular function regulator
IFNA16	GO:0098772	molecular function regulator
IFNW1	GO:0098772	molecular function regulator
IFNB1	GO:0098772	molecular function regulator
IFNL3	GO:0098772	molecular function regulator
BST2	GO:0098772	molecular function regulator
IL12A	GO:0098772	molecular function regulator
CASP1	GO:0098772	molecular function regulator
CSF3	GO:0098772	molecular function regulator
TNFSF10	GO:0098772	molecular function regulator
IL17C	GO:0098772	molecular function regulator
IL11	GO:0098772	molecular function regulator
CSF2	GO:0098772	molecular function regulator
CSF1	GO:0098772	molecular function regulator
TSLP	GO:0098772	molecular function regulator
VSTM1	GO:0098772	molecular function regulator
CXCL9	GO:0098772	molecular function regulator
CARD16	GO:0098772	molecular function regulator
TNFSF13B	GO:0098772	molecular function regulator
TNFSF18	GO:0098772	molecular function regulator
IL6	GO:0098772	molecular function regulator
TNF	GO:0098772	molecular function regulator
LTA	GO:0098772	molecular function regulator
IRGM	GO:0098772	molecular function regulator
TNFSF14	GO:0098772	molecular function regulator
IFNA7	GO:0005132	type I interferon receptor binding
IFNA8	GO:0005132	type I interferon receptor binding
IFNA2	GO:0005132	type I interferon receptor binding
IFNA16	GO:0005132	type I interferon receptor binding
IFNW1	GO:0005132	type I interferon receptor binding
IFNB1	GO:0005132	type I interferon receptor binding
USP18	GO:0005515	protein binding
IFNA7	GO:0005515	protein binding
IRF1	GO:0005515	protein binding
NLRC5	GO:0005515	protein binding
MAP3K8	GO:0005515	protein binding
HERC5	GO:0005515	protein binding
NLRP4	GO:0005515	protein binding
SOCS1	GO:0005515	protein binding
IFNL1	GO:0005515	protein binding
IFNL2	GO:0005515	protein binding
MX2	GO:0005515	protein binding
OAS2	GO:0005515	protein binding
IFI16	GO:0005515	protein binding
ZBP1	GO:0005515	protein binding
IFIT5	GO:0005515	protein binding
IFIT1	GO:0005515	protein binding
IFIT3	GO:0005515	protein binding
IFIT2	GO:0005515	protein binding
TRIM22	GO:0005515	protein binding
IFNA8	GO:0005515	protein binding
IFNA2	GO:0005515	protein binding
IFNA16	GO:0005515	protein binding
IFNW1	GO:0005515	protein binding
IFNB1	GO:0005515	protein binding
RSAD2	GO:0005515	protein binding
DDX60	GO:0005515	protein binding
MX1	GO:0005515	protein binding
IFITM3	GO:0005515	protein binding
IFITM1	GO:0005515	protein binding
IFNL3	GO:0005515	protein binding
IFI27	GO:0005515	protein binding
MEFV	GO:0005515	protein binding
BST2	GO:0005515	protein binding
IL12A	GO:0005515	protein binding
CD274	GO:0005515	protein binding
JAK2	GO:0005515	protein binding
PDCD1LG2	GO:0005515	protein binding
DHX58	GO:0005515	protein binding
OASL	GO:0005515	protein binding
GBP1	GO:0005515	protein binding
APOBEC3G	GO:0005515	protein binding
CASP1	GO:0005515	protein binding
CSF3	GO:0005515	protein binding
TNFSF10	GO:0005515	protein binding
IL17C	GO:0005515	protein binding
IL11	GO:0005515	protein binding
HMCN1	GO:0005515	protein binding
KIT	GO:0005515	protein binding
TLR3	GO:0005515	protein binding
CSF2	GO:0005515	protein binding
CLEC7A	GO:0005515	protein binding
IL7R	GO:0005515	protein binding
CSF1	GO:0005515	protein binding
SELE	GO:0005515	protein binding
TSLP	GO:0005515	protein binding
VSTM1	GO:0005515	protein binding
ANKRD53	GO:0005515	protein binding
CXCL9	GO:0005515	protein binding
ZC3H12A	GO:0005515	protein binding
CARD16	GO:0005515	protein binding
TNFSF13B	GO:0005515	protein binding
SSC5D	GO:0005515	protein binding
CRLF2	GO:0005515	protein binding
TNFSF18	GO:0005515	protein binding
IL6	GO:0005515	protein binding
IL18R1	GO:0005515	protein binding
TNF	GO:0005515	protein binding
LTA	GO:0005515	protein binding
IRGM	GO:0005515	protein binding
TNFSF14	GO:0005515	protein binding
TNFAIP3	GO:0005515	protein binding
TNFSF10	GO:0032813	tumor necrosis factor receptor superfamily binding
TNFSF13B	GO:0032813	tumor necrosis factor receptor superfamily binding
TNFSF18	GO:0032813	tumor necrosis factor receptor superfamily binding
TNF	GO:0032813	tumor necrosis factor receptor superfamily binding
LTA	GO:0032813	tumor necrosis factor receptor superfamily binding
TNFSF14	GO:0032813	tumor necrosis factor receptor superfamily binding
TNFSF10	GO:0005164	tumor necrosis factor receptor binding
TNFSF13B	GO:0005164	tumor necrosis factor receptor binding
TNF	GO:0005164	tumor necrosis factor receptor binding
LTA	GO:0005164	tumor necrosis factor receptor binding
TNFSF14	GO:0005164	tumor necrosis factor receptor binding
IL12A	GO:0070851	growth factor receptor binding
JAK2	GO:0070851	growth factor receptor binding
CSF3	GO:0070851	growth factor receptor binding
IL11	GO:0070851	growth factor receptor binding
CSF2	GO:0070851	growth factor receptor binding
TSLP	GO:0070851	growth factor receptor binding
IL6	GO:0070851	growth factor receptor binding
OAS2	GO:0003725	double-stranded RNA binding
DDX60	GO:0003725	double-stranded RNA binding
DHX58	GO:0003725	double-stranded RNA binding
OASL	GO:0003725	double-stranded RNA binding
TLR3	GO:0003725	double-stranded RNA binding
CASP1	GO:0050700	CARD domain binding
CARD16	GO:0050700	CARD domain binding
IRGM	GO:0050700	CARD domain binding
IL12A	GO:0008083	growth factor activity
CSF3	GO:0008083	growth factor activity
IL11	GO:0008083	growth factor activity
CSF2	GO:0008083	growth factor activity
CSF1	GO:0008083	growth factor activity
IL6	GO:0008083	growth factor activity
USP18	GO:0005488	binding
IFNA7	GO:0005488	binding
IRF1	GO:0005488	binding
NLRC5	GO:0005488	binding
MAP3K8	GO:0005488	binding
HERC5	GO:0005488	binding
NLRP4	GO:0005488	binding
ISG20	GO:0005488	binding
SOCS1	GO:0005488	binding
IFNL1	GO:0005488	binding
IFNL2	GO:0005488	binding
MX2	GO:0005488	binding
OAS2	GO:0005488	binding
HIVEP2	GO:0005488	binding
IFI16	GO:0005488	binding
IFI44L	GO:0005488	binding
ZBP1	GO:0005488	binding
IFIT5	GO:0005488	binding
IFIT1	GO:0005488	binding
IFIT3	GO:0005488	binding
IFIT2	GO:0005488	binding
TRIM22	GO:0005488	binding
IFNA8	GO:0005488	binding
IFNA2	GO:0005488	binding
IFNA16	GO:0005488	binding
IFNW1	GO:0005488	binding
IFNB1	GO:0005488	binding
RSAD2	GO:0005488	binding
DDX60	GO:0005488	binding
MX1	GO:0005488	binding
IFITM3	GO:0005488	binding
IFITM1	GO:0005488	binding
IFNL3	GO:0005488	binding
IFI27	GO:0005488	binding
MEFV	GO:0005488	binding
BST2	GO:0005488	binding
IL12A	GO:0005488	binding
CD274	GO:0005488	binding
JAK2	GO:0005488	binding
PDCD1LG2	GO:0005488	binding
DHX58	GO:0005488	binding
OASL	GO:0005488	binding
GBP1	GO:0005488	binding
APOBEC3G	GO:0005488	binding
CASP1	GO:0005488	binding
CSF3	GO:0005488	binding
TNFSF10	GO:0005488	binding
IL17C	GO:0005488	binding
IL11	GO:0005488	binding
HMCN1	GO:0005488	binding
KIT	GO:0005488	binding
TLR3	GO:0005488	binding
CSF2	GO:0005488	binding
CLEC7A	GO:0005488	binding
