node_1	node_2	node_1_type	node_2_type	node_1_name	node_2_name
SARS-CoV2-E	25980	indication	protein	SARS-CoV2-E	AAR2
SARS-CoV2-E	10157	indication	protein	SARS-CoV2-E	AASS
SARS-CoV2-E	26574	indication	protein	SARS-CoV2-E	AATF
SARS-CoV2-E	4363	indication	protein	SARS-CoV2-E	ABCC1
SARS-CoV2-E	28976	indication	protein	SARS-CoV2-E	ACAD9
SARS-CoV2-E	34	indication	protein	SARS-CoV2-E	ACADM
SARS-CoV2-M	2181	indication	protein	SARS-CoV2-M	ACSL3
SARS-CoV2-M	8754	indication	protein	SARS-CoV2-M	ADAM9
SARS-CoV2-M	9510	indication	protein	SARS-CoV2-M	ADAMTS1
SARS-CoV2-M	8540	indication	protein	SARS-CoV2-M	AGPS
SARS-CoV2-M	10270	indication	protein	SARS-CoV2-M	AKAP8
SARS-CoV2-M	26993	indication	protein	SARS-CoV2-M	AKAP8L
SARS-CoV2-M	10142	indication	protein	SARS-CoV2-M	AKAP9
SARS-CoV2-M	440138	indication	protein	SARS-CoV2-M	ALG11
SARS-CoV2-M	29880	indication	protein	SARS-CoV2-M	ALG5
SARS-CoV2-M	79053	indication	protein	SARS-CoV2-M	ALG8
SARS-CoV2-M	196527	indication	protein	SARS-CoV2-M	ANO6
SARS-CoV2-M	161	indication	protein	SARS-CoV2-M	AP2A2
SARS-CoV2-M	1173	indication	protein	SARS-CoV2-M	AP2M1
SARS-CoV2-M	8546	indication	protein	SARS-CoV2-M	AP3B1
SARS-CoV2-M	382	indication	protein	SARS-CoV2-M	ARF6
SARS-CoV2-M	151188	indication	protein	SARS-CoV2-M	ARL6IP6
SARS-CoV2-M	11101	indication	protein	SARS-CoV2-M	ATE1
SARS-CoV2-M	79572	indication	protein	SARS-CoV2-M	ATP13A3
SARS-CoV2-M	481	indication	protein	SARS-CoV2-M	ATP1B1
SARS-CoV2-M	10632	indication	protein	SARS-CoV2-M	ATP5MG
SARS-CoV2-M	537	indication	protein	SARS-CoV2-M	ATP6AP1
SARS-CoV2-M	523	indication	protein	SARS-CoV2-M	ATP6V1A
SARS-CoV2-M	9529	indication	protein	SARS-CoV2-M	BAG5
SARS-CoV2-M	10295	indication	protein	SARS-CoV2-M	BCKDK
SARS-CoV2-M	617	indication	protein	SARS-CoV2-M	BCS1L
SARS-CoV2-M	6046	indication	protein	SARS-CoV2-M	BRD2
SARS-CoV2-M	23476	indication	protein	SARS-CoV2-M	BRD4
SARS-CoV2-M	28969	indication	protein	SARS-CoV2-M	BZW2
SARS-CoV2-M	79080	indication	protein	SARS-CoV2-M	CCDC86
SARS-CoV2-N	55755	indication	protein	SARS-CoV2-N	CDK5RAP2
SARS-CoV2-N	1063	indication	protein	SARS-CoV2-N	CENPF
SARS-CoV2-N	9662	indication	protein	SARS-CoV2-N	CEP135
SARS-CoV2-N	11190	indication	protein	SARS-CoV2-N	CEP250
SARS-CoV2-N	9857	indication	protein	SARS-CoV2-N	CEP350
SARS-CoV2-N	23177	indication	protein	SARS-CoV2-N	CEP68
SARS-CoV2-N	27243	indication	protein	SARS-CoV2-N	CHMP2A
SARS-CoV2-N	79586	indication	protein	SARS-CoV2-N	CHPF
SARS-CoV2-N	54480	indication	protein	SARS-CoV2-N	CHPF2
SARS-CoV2-N	284106	indication	protein	SARS-CoV2-N	CISD3
SARS-CoV2-N	11113	indication	protein	SARS-CoV2-N	CIT
SARS-CoV2-N	23155	indication	protein	SARS-CoV2-N	CLCC1
SARS-CoV2-Spike	11064	indication	protein	SARS-CoV2-Spike	CNTRL
SARS-CoV2-Spike	1291	indication	protein	SARS-CoV2-Spike	COL6A1
SARS-CoV2-nsp1	79709	indication	protein	SARS-CoV2-nsp1	COLGALT1
SARS-CoV2-nsp1	1312	indication	protein	SARS-CoV2-nsp1	COMT
SARS-CoV2-nsp1	64784	indication	protein	SARS-CoV2-nsp1	CRTC3
SARS-CoV2-nsp1	7812	indication	protein	SARS-CoV2-nsp1	CSDE1
SARS-CoV2-nsp1	1459	indication	protein	SARS-CoV2-nsp1	CSNK2A2
SARS-CoV2-nsp10	1460	indication	protein	SARS-CoV2-nsp10	CSNK2B
SARS-CoV2-nsp10	8453	indication	protein	SARS-CoV2-nsp10	CUL2
SARS-CoV2-nsp10	10283	indication	protein	SARS-CoV2-nsp10	CWC27
SARS-CoV2-nsp10	80777	indication	protein	SARS-CoV2-nsp10	CYB5B
SARS-CoV2-nsp10	1727	indication	protein	SARS-CoV2-nsp10	CYB5R3
SARS-CoV2-nsp11	10238	indication	protein	SARS-CoV2-nsp11	DCAF7
SARS-CoV2-nsp12	79877	indication	protein	SARS-CoV2-nsp12	DCAKD
SARS-CoV2-nsp12	79077	indication	protein	SARS-CoV2-nsp12	DCTPP1
SARS-CoV2-nsp12	1662	indication	protein	SARS-CoV2-nsp12	DDX10
SARS-CoV2-nsp12	9188	indication	protein	SARS-CoV2-nsp12	DDX21
SARS-CoV2-nsp12	55735	indication	protein	SARS-CoV2-nsp12	DNAJC11
SARS-CoV2-nsp12	131118	indication	protein	SARS-CoV2-nsp12	DNAJC19
SARS-CoV2-nsp12	1786	indication	protein	SARS-CoV2-nsp12	DNMT1
SARS-CoV2-nsp12	23333	indication	protein	SARS-CoV2-nsp12	DPY19L1
SARS-CoV2-nsp12	51295	indication	protein	SARS-CoV2-nsp12	ECSIT
SARS-CoV2-nsp12	80267	indication	protein	SARS-CoV2-nsp12	EDEM3
SARS-CoV2-nsp12	9470	indication	protein	SARS-CoV2-nsp12	EIF4E2
SARS-CoV2-nsp12	7458	indication	protein	SARS-CoV2-nsp12	EIF4H
SARS-CoV2-nsp12	6923	indication	protein	SARS-CoV2-nsp12	ELOB
SARS-CoV2-nsp12	6921	indication	protein	SARS-CoV2-nsp12	ELOC
SARS-CoV2-nsp12	23065	indication	protein	SARS-CoV2-nsp12	EMC1
SARS-CoV2-nsp12	23085	indication	protein	SARS-CoV2-nsp12	ERC1
SARS-CoV2-nsp12	57222	indication	protein	SARS-CoV2-nsp12	ERGIC1
SARS-CoV2-nsp12	27248	indication	protein	SARS-CoV2-nsp12	ERLEC1
SARS-CoV2-nsp12	79956	indication	protein	SARS-CoV2-nsp12	ERMP1
SARS-CoV2-nsp13	23071	indication	protein	SARS-CoV2-nsp13	ERP44
SARS-CoV2-nsp13	2108	indication	protein	SARS-CoV2-nsp13	ETFA
SARS-CoV2-nsp13	23404	indication	protein	SARS-CoV2-nsp13	EXOSC2
SARS-CoV2-nsp13	51010	indication	protein	SARS-CoV2-nsp13	EXOSC3
SARS-CoV2-nsp13	56915	indication	protein	SARS-CoV2-nsp13	EXOSC5
SARS-CoV2-nsp13	11340	indication	protein	SARS-CoV2-nsp13	EXOSC8
SARS-CoV2-nsp13	2150	indication	protein	SARS-CoV2-nsp13	F2RL1
SARS-CoV2-nsp13	26355	indication	protein	SARS-CoV2-nsp13	FAM162A
SARS-CoV2-nsp13	51439	indication	protein	SARS-CoV2-nsp13	FAM8A1
SARS-CoV2-nsp13	25940	indication	protein	SARS-CoV2-nsp13	FAM98A
SARS-CoV2-nsp13	55711	indication	protein	SARS-CoV2-nsp13	FAR2
SARS-CoV2-nsp13	60493	indication	protein	SARS-CoV2-nsp13	FASTKD5
SARS-CoV2-nsp13	10516	indication	protein	SARS-CoV2-nsp13	FBLN5
SARS-CoV2-nsp13	2200	indication	protein	SARS-CoV2-nsp13	FBN1
SARS-CoV2-nsp13	2201	indication	protein	SARS-CoV2-nsp13	FBN2
SARS-CoV2-nsp13	54850	indication	protein	SARS-CoV2-nsp13	FBXL12
SARS-CoV2-nsp13	60681	indication	protein	SARS-CoV2-nsp13	FKBP10
SARS-CoV2-nsp13	23307	indication	protein	SARS-CoV2-nsp13	FKBP15
SARS-CoV2-nsp13	51661	indication	protein	SARS-CoV2-nsp13	FKBP7
SARS-CoV2-nsp13	80020	indication	protein	SARS-CoV2-nsp13	FOXRED2
SARS-CoV2-nsp13	79443	indication	protein	SARS-CoV2-nsp13	FYCO1
SARS-CoV2-nsp13	10146	indication	protein	SARS-CoV2-nsp13	G3BP1
SARS-CoV2-nsp13	9908	indication	protein	SARS-CoV2-nsp13	G3BP2
SARS-CoV2-nsp13	79571	indication	protein	SARS-CoV2-nsp13	GCC1
SARS-CoV2-nsp13	9648	indication	protein	SARS-CoV2-nsp13	GCC2
SARS-CoV2-nsp13	9518	indication	protein	SARS-CoV2-nsp13	GDF15
SARS-CoV2-nsp13	2671	indication	protein	SARS-CoV2-nsp13	GFER
SARS-CoV2-nsp13	2677	indication	protein	SARS-CoV2-nsp13	GGCX
SARS-CoV2-nsp13	8836	indication	protein	SARS-CoV2-nsp13	GGH
SARS-CoV2-nsp13	27069	indication	protein	SARS-CoV2-nsp13	GHITM
SARS-CoV2-nsp13	26058	indication	protein	SARS-CoV2-nsp13	GIGYF2
SARS-CoV2-nsp13	2782	indication	protein	SARS-CoV2-nsp13	GNB1
SARS-CoV2-nsp13	2787	indication	protein	SARS-CoV2-nsp13	GNG5
SARS-CoV2-nsp13	2801	indication	protein	SARS-CoV2-nsp13	GOLGA2
SARS-CoV2-nsp13	2802	indication	protein	SARS-CoV2-nsp13	GOLGA3
SARS-CoV2-nsp13	51125	indication	protein	SARS-CoV2-nsp13	GOLGA7
SARS-CoV2-nsp13	2804	indication	protein	SARS-CoV2-nsp13	GOLGB1
SARS-CoV2-nsp13	64689	indication	protein	SARS-CoV2-nsp13	GORASP1
SARS-CoV2-nsp14	8733	indication	protein	SARS-CoV2-nsp14	GPAA1
SARS-CoV2-nsp14	2876	indication	protein	SARS-CoV2-nsp14	GPX1
SARS-CoV2-nsp14	56850	indication	protein	SARS-CoV2-nsp14	GRIPAP1
SARS-CoV2-nsp15	80273	indication	protein	SARS-CoV2-nsp15	GRPEL1
SARS-CoV2-nsp15	2963	indication	protein	SARS-CoV2-nsp15	GTF2F2
SARS-CoV2-nsp15	3066	indication	protein	SARS-CoV2-nsp15	HDAC2
SARS-CoV2-nsp2	55027	indication	protein	SARS-CoV2-nsp2	HEATR3
SARS-CoV2-nsp2	25831	indication	protein	SARS-CoV2-nsp2	HECTD1
SARS-CoV2-nsp2	3162	indication	protein	SARS-CoV2-nsp2	HMOX1
SARS-CoV2-nsp2	51361	indication	protein	SARS-CoV2-nsp2	HOOK1
SARS-CoV2-nsp2	9653	indication	protein	SARS-CoV2-nsp2	HS2ST1
SARS-CoV2-nsp2	3281	indication	protein	SARS-CoV2-nsp2	HSBP1
SARS-CoV2-nsp4	10525	indication	protein	SARS-CoV2-nsp4	HYOU1
SARS-CoV2-nsp4	3416	indication	protein	SARS-CoV2-nsp4	IDE
SARS-CoV2-nsp4	23765	indication	protein	SARS-CoV2-nsp4	IL17RA
SARS-CoV2-nsp4	3615	indication	protein	SARS-CoV2-nsp4	IMPDH2
SARS-CoV2-nsp4	83729	indication	protein	SARS-CoV2-nsp4	INHBE
SARS-CoV2-nsp4	92105	indication	protein	SARS-CoV2-nsp4	INTS4
SARS-CoV2-nsp4	3688	indication	protein	SARS-CoV2-nsp4	ITGB1
SARS-CoV2-nsp4	152789	indication	protein	SARS-CoV2-nsp4	JAKMIP1
SARS-CoV2-nsp5	23367	indication	protein	SARS-CoV2-nsp5	LARP1
SARS-CoV2-nsp5_C145A	23185	indication	protein	SARS-CoV2-nsp5_C145A	LARP4B
SARS-CoV2-nsp5_C145A	51574	indication	protein	SARS-CoV2-nsp5_C145A	LARP7
SARS-CoV2-nsp6	10960	indication	protein	SARS-CoV2-nsp6	LMAN2
SARS-CoV2-nsp6	4015	indication	protein	SARS-CoV2-nsp6	LOX
SARS-CoV2-nsp6	55700	indication	protein	SARS-CoV2-nsp6	MAP7D1
SARS-CoV2-nsp6	4139	indication	protein	SARS-CoV2-nsp6	MARK1
SARS-CoV2-nsp7	2011	indication	protein	SARS-CoV2-nsp7	MARK2
SARS-CoV2-nsp7	4140	indication	protein	SARS-CoV2-nsp7	MARK3
SARS-CoV2-nsp7	27430	indication	protein	SARS-CoV2-nsp7	MAT2B
SARS-CoV2-nsp7	23195	indication	protein	SARS-CoV2-nsp7	MDN1
SARS-CoV2-nsp7	56257	indication	protein	SARS-CoV2-nsp7	MEPCE
SARS-CoV2-nsp7	4240	indication	protein	SARS-CoV2-nsp7	MFGE8
SARS-CoV2-nsp7	57534	indication	protein	SARS-CoV2-nsp7	MIB1
SARS-CoV2-nsp7	145282	indication	protein	SARS-CoV2-nsp7	MIPOL1
SARS-CoV2-nsp7	7841	indication	protein	SARS-CoV2-nsp7	MOGS
SARS-CoV2-nsp7	4343	indication	protein	SARS-CoV2-nsp7	MOV10
SARS-CoV2-nsp7	10199	indication	protein	SARS-CoV2-nsp7	MPHOSPH10
SARS-CoV2-nsp7	51116	indication	protein	SARS-CoV2-nsp7	MRPS2
SARS-CoV2-nsp7	64432	indication	protein	SARS-CoV2-nsp7	MRPS25
SARS-CoV2-nsp7	23107	indication	protein	SARS-CoV2-nsp7	MRPS27
SARS-CoV2-nsp7	64969	indication	protein	SARS-CoV2-nsp7	MRPS5
SARS-CoV2-nsp7	23787	indication	protein	SARS-CoV2-nsp7	MTCH1
SARS-CoV2-nsp7	23077	indication	protein	SARS-CoV2-nsp7	MYCBP2
SARS-CoV2-nsp7	79731	indication	protein	SARS-CoV2-nsp7	NARS2
SARS-CoV2-nsp7	57106	indication	protein	SARS-CoV2-nsp7	NAT14
SARS-CoV2-nsp7	54602	indication	protein	SARS-CoV2-nsp7	NDFIP2
SARS-CoV2-nsp7	51103	indication	protein	SARS-CoV2-nsp7	NDUFAF1
SARS-CoV2-nsp7	91942	indication	protein	SARS-CoV2-nsp7	NDUFAF2
SARS-CoV2-nsp7	4715	indication	protein	SARS-CoV2-nsp7	NDUFB9
SARS-CoV2-nsp7	91754	indication	protein	SARS-CoV2-nsp7	NEK9
SARS-CoV2-nsp7	4758	indication	protein	SARS-CoV2-nsp7	NEU1
SARS-CoV2-nsp7	55768	indication	protein	SARS-CoV2-nsp7	NGLY1
SARS-CoV2-nsp7	51199	indication	protein	SARS-CoV2-nsp7	NIN
SARS-CoV2-nsp7	22981	indication	protein	SARS-CoV2-nsp7	NINL
SARS-CoV2-nsp7	79671	indication	protein	SARS-CoV2-nsp7	NLRX1
SARS-CoV2-nsp7	79954	indication	protein	SARS-CoV2-nsp7	NOL10
SARS-CoV2-nsp8	10577	indication	protein	SARS-CoV2-nsp8	NPC2
SARS-CoV2-nsp8	4884	indication	protein	SARS-CoV2-nsp8	NPTX1
SARS-CoV2-nsp8	23225	indication	protein	SARS-CoV2-nsp8	NUP210
SARS-CoV2-nsp8	8021	indication	protein	SARS-CoV2-nsp8	NUP214
SARS-CoV2-nsp8	53371	indication	protein	SARS-CoV2-nsp8	NUP54
SARS-CoV2-nsp8	23636	indication	protein	SARS-CoV2-nsp8	NUP62
SARS-CoV2-nsp8	4927	indication	protein	SARS-CoV2-nsp8	NUP88
SARS-CoV2-nsp8	4928	indication	protein	SARS-CoV2-nsp8	NUP98
SARS-CoV2-nsp8	10204	indication	protein	SARS-CoV2-nsp8	NUTF2
SARS-CoV2-nsp8	10956	indication	protein	SARS-CoV2-nsp8	OS9
SARS-CoV2-nsp8	26986	indication	protein	SARS-CoV2-nsp8	PABPC1
SARS-CoV2-nsp8	8761	indication	protein	SARS-CoV2-nsp8	PABPC4
SARS-CoV2-nsp8	5116	indication	protein	SARS-CoV2-nsp8	PCNT
SARS-CoV2-nsp8	5046	indication	protein	SARS-CoV2-nsp8	PCSK6
SARS-CoV2-nsp8	9659	indication	protein	SARS-CoV2-nsp8	PDE4DIP
SARS-CoV2-nsp8	51248	indication	protein	SARS-CoV2-nsp8	PDZD11
SARS-CoV2-nsp8	84720	indication	protein	SARS-CoV2-nsp8	PIGO
SARS-CoV2-nsp8	94005	indication	protein	SARS-CoV2-nsp8	PIGS
SARS-CoV2-nsp8	10531	indication	protein	SARS-CoV2-nsp8	PITRM1
SARS-CoV2-nsp8	5318	indication	protein	SARS-CoV2-nsp8	PKP2
