node_1	node_2	node_1_type	node_2_type	node_1_name	node_2_name
NodeCovid	25980	indication	protein	covid-19	AAR2
NodeCovid	10157	indication	protein	covid-19	AASS
NodeCovid	26574	indication	protein	covid-19	AATF
NodeCovid	4363	indication	protein	covid-19	ABCC1
NodeCovid	28976	indication	protein	covid-19	ACAD9
NodeCovid	34	indication	protein	covid-19	ACADM
NodeCovid	2181	indication	protein	covid-19	ACSL3
NodeCovid	8754	indication	protein	covid-19	ADAM9
NodeCovid	9510	indication	protein	covid-19	ADAMTS1
NodeCovid	8540	indication	protein	covid-19	AGPS
NodeCovid	10270	indication	protein	covid-19	AKAP8
NodeCovid	26993	indication	protein	covid-19	AKAP8L
NodeCovid	10142	indication	protein	covid-19	AKAP9
NodeCovid	440138	indication	protein	covid-19	ALG11
NodeCovid	29880	indication	protein	covid-19	ALG5
NodeCovid	79053	indication	protein	covid-19	ALG8
NodeCovid	196527	indication	protein	covid-19	ANO6
NodeCovid	161	indication	protein	covid-19	AP2A2
NodeCovid	1173	indication	protein	covid-19	AP2M1
NodeCovid	8546	indication	protein	covid-19	AP3B1
NodeCovid	382	indication	protein	covid-19	ARF6
NodeCovid	151188	indication	protein	covid-19	ARL6IP6
NodeCovid	11101	indication	protein	covid-19	ATE1
NodeCovid	79572	indication	protein	covid-19	ATP13A3
NodeCovid	481	indication	protein	covid-19	ATP1B1
NodeCovid	10632	indication	protein	covid-19	ATP5MG
NodeCovid	537	indication	protein	covid-19	ATP6AP1
NodeCovid	523	indication	protein	covid-19	ATP6V1A
NodeCovid	9529	indication	protein	covid-19	BAG5
NodeCovid	10295	indication	protein	covid-19	BCKDK
NodeCovid	617	indication	protein	covid-19	BCS1L
NodeCovid	6046	indication	protein	covid-19	BRD2
NodeCovid	23476	indication	protein	covid-19	BRD4
NodeCovid	28969	indication	protein	covid-19	BZW2
NodeCovid	79080	indication	protein	covid-19	CCDC86
NodeCovid	55755	indication	protein	covid-19	CDK5RAP2
NodeCovid	1063	indication	protein	covid-19	CENPF
NodeCovid	9662	indication	protein	covid-19	CEP135
NodeCovid	11190	indication	protein	covid-19	CEP250
NodeCovid	9857	indication	protein	covid-19	CEP350
NodeCovid	23177	indication	protein	covid-19	CEP68
NodeCovid	27243	indication	protein	covid-19	CHMP2A
NodeCovid	79586	indication	protein	covid-19	CHPF
NodeCovid	54480	indication	protein	covid-19	CHPF2
NodeCovid	284106	indication	protein	covid-19	CISD3
NodeCovid	11113	indication	protein	covid-19	CIT
NodeCovid	23155	indication	protein	covid-19	CLCC1
NodeCovid	11064	indication	protein	covid-19	CNTRL
NodeCovid	1291	indication	protein	covid-19	COL6A1
NodeCovid	79709	indication	protein	covid-19	COLGALT1
NodeCovid	1312	indication	protein	covid-19	COMT
NodeCovid	64784	indication	protein	covid-19	CRTC3
NodeCovid	7812	indication	protein	covid-19	CSDE1
NodeCovid	1459	indication	protein	covid-19	CSNK2A2
NodeCovid	1460	indication	protein	covid-19	CSNK2B
NodeCovid	8453	indication	protein	covid-19	CUL2
NodeCovid	10283	indication	protein	covid-19	CWC27
NodeCovid	80777	indication	protein	covid-19	CYB5B
NodeCovid	1727	indication	protein	covid-19	CYB5R3
NodeCovid	10238	indication	protein	covid-19	DCAF7
NodeCovid	79877	indication	protein	covid-19	DCAKD
NodeCovid	79077	indication	protein	covid-19	DCTPP1
NodeCovid	1662	indication	protein	covid-19	DDX10
NodeCovid	9188	indication	protein	covid-19	DDX21
NodeCovid	55735	indication	protein	covid-19	DNAJC11
NodeCovid	131118	indication	protein	covid-19	DNAJC19
NodeCovid	1786	indication	protein	covid-19	DNMT1
NodeCovid	23333	indication	protein	covid-19	DPY19L1
NodeCovid	51295	indication	protein	covid-19	ECSIT
NodeCovid	80267	indication	protein	covid-19	EDEM3
NodeCovid	9470	indication	protein	covid-19	EIF4E2
NodeCovid	7458	indication	protein	covid-19	EIF4H
NodeCovid	6923	indication	protein	covid-19	ELOB
NodeCovid	6921	indication	protein	covid-19	ELOC
NodeCovid	23065	indication	protein	covid-19	EMC1
NodeCovid	23085	indication	protein	covid-19	ERC1
NodeCovid	57222	indication	protein	covid-19	ERGIC1
NodeCovid	27248	indication	protein	covid-19	ERLEC1
NodeCovid	79956	indication	protein	covid-19	ERMP1
NodeCovid	23071	indication	protein	covid-19	ERP44
NodeCovid	2108	indication	protein	covid-19	ETFA
NodeCovid	23404	indication	protein	covid-19	EXOSC2
NodeCovid	51010	indication	protein	covid-19	EXOSC3
NodeCovid	56915	indication	protein	covid-19	EXOSC5
NodeCovid	11340	indication	protein	covid-19	EXOSC8
NodeCovid	2150	indication	protein	covid-19	F2RL1
NodeCovid	26355	indication	protein	covid-19	FAM162A
NodeCovid	51439	indication	protein	covid-19	FAM8A1
NodeCovid	25940	indication	protein	covid-19	FAM98A
NodeCovid	55711	indication	protein	covid-19	FAR2
NodeCovid	60493	indication	protein	covid-19	FASTKD5
NodeCovid	10516	indication	protein	covid-19	FBLN5
NodeCovid	2200	indication	protein	covid-19	FBN1
NodeCovid	2201	indication	protein	covid-19	FBN2
NodeCovid	54850	indication	protein	covid-19	FBXL12
NodeCovid	11116	indication	protein	covid-19	FGFR1OP
NodeCovid	60681	indication	protein	covid-19	FKBP10
NodeCovid	23307	indication	protein	covid-19	FKBP15
NodeCovid	51661	indication	protein	covid-19	FKBP7
NodeCovid	80020	indication	protein	covid-19	FOXRED2
NodeCovid	79443	indication	protein	covid-19	FYCO1
NodeCovid	10146	indication	protein	covid-19	G3BP1
NodeCovid	9908	indication	protein	covid-19	G3BP2
NodeCovid	79571	indication	protein	covid-19	GCC1
NodeCovid	9648	indication	protein	covid-19	GCC2
NodeCovid	9518	indication	protein	covid-19	GDF15
NodeCovid	2671	indication	protein	covid-19	GFER
NodeCovid	2677	indication	protein	covid-19	GGCX
NodeCovid	8836	indication	protein	covid-19	GGH
NodeCovid	27069	indication	protein	covid-19	GHITM
NodeCovid	26058	indication	protein	covid-19	GIGYF2
NodeCovid	2782	indication	protein	covid-19	GNB1
NodeCovid	2787	indication	protein	covid-19	GNG5
NodeCovid	2801	indication	protein	covid-19	GOLGA2
NodeCovid	2802	indication	protein	covid-19	GOLGA3
NodeCovid	51125	indication	protein	covid-19	GOLGA7
NodeCovid	2804	indication	protein	covid-19	GOLGB1
NodeCovid	64689	indication	protein	covid-19	GORASP1
NodeCovid	8733	indication	protein	covid-19	GPAA1
NodeCovid	2876	indication	protein	covid-19	GPX1
NodeCovid	56850	indication	protein	covid-19	GRIPAP1
NodeCovid	80273	indication	protein	covid-19	GRPEL1
NodeCovid	2963	indication	protein	covid-19	GTF2F2
NodeCovid	3066	indication	protein	covid-19	HDAC2
NodeCovid	55027	indication	protein	covid-19	HEATR3
NodeCovid	25831	indication	protein	covid-19	HECTD1
NodeCovid	3162	indication	protein	covid-19	HMOX1
NodeCovid	51361	indication	protein	covid-19	HOOK1
NodeCovid	9653	indication	protein	covid-19	HS2ST1
NodeCovid	3281	indication	protein	covid-19	HSBP1
NodeCovid	10525	indication	protein	covid-19	HYOU1
NodeCovid	3416	indication	protein	covid-19	IDE
NodeCovid	23765	indication	protein	covid-19	IL17RA
NodeCovid	3615	indication	protein	covid-19	IMPDH2
NodeCovid	83729	indication	protein	covid-19	INHBE
NodeCovid	92105	indication	protein	covid-19	INTS4
NodeCovid	3688	indication	protein	covid-19	ITGB1
NodeCovid	152789	indication	protein	covid-19	JAKMIP1
NodeCovid	23367	indication	protein	covid-19	LARP1
NodeCovid	23185	indication	protein	covid-19	LARP4B
NodeCovid	51574	indication	protein	covid-19	LARP7
NodeCovid	10960	indication	protein	covid-19	LMAN2
NodeCovid	4015	indication	protein	covid-19	LOX
NodeCovid	55700	indication	protein	covid-19	MAP7D1
NodeCovid	4139	indication	protein	covid-19	MARK1
NodeCovid	2011	indication	protein	covid-19	MARK2
NodeCovid	4140	indication	protein	covid-19	MARK3
NodeCovid	27430	indication	protein	covid-19	MAT2B
NodeCovid	23195	indication	protein	covid-19	MDN1
NodeCovid	56257	indication	protein	covid-19	MEPCE
NodeCovid	4240	indication	protein	covid-19	MFGE8
NodeCovid	57534	indication	protein	covid-19	MIB1
NodeCovid	145282	indication	protein	covid-19	MIPOL1
NodeCovid	7841	indication	protein	covid-19	MOGS
NodeCovid	4343	indication	protein	covid-19	MOV10
NodeCovid	10199	indication	protein	covid-19	MPHOSPH10
NodeCovid	51116	indication	protein	covid-19	MRPS2
NodeCovid	64432	indication	protein	covid-19	MRPS25
NodeCovid	23107	indication	protein	covid-19	MRPS27
NodeCovid	64969	indication	protein	covid-19	MRPS5
NodeCovid	23787	indication	protein	covid-19	MTCH1
NodeCovid	23077	indication	protein	covid-19	MYCBP2
NodeCovid	79731	indication	protein	covid-19	NARS2
NodeCovid	57106	indication	protein	covid-19	NAT14
NodeCovid	54602	indication	protein	covid-19	NDFIP2
NodeCovid	51103	indication	protein	covid-19	NDUFAF1
NodeCovid	91942	indication	protein	covid-19	NDUFAF2
NodeCovid	4715	indication	protein	covid-19	NDUFB9
NodeCovid	91754	indication	protein	covid-19	NEK9
NodeCovid	4758	indication	protein	covid-19	NEU1
NodeCovid	55768	indication	protein	covid-19	NGLY1
NodeCovid	51199	indication	protein	covid-19	NIN
NodeCovid	22981	indication	protein	covid-19	NINL
NodeCovid	79671	indication	protein	covid-19	NLRX1
NodeCovid	79954	indication	protein	covid-19	NOL10
NodeCovid	10577	indication	protein	covid-19	NPC2
NodeCovid	4884	indication	protein	covid-19	NPTX1
NodeCovid	23225	indication	protein	covid-19	NUP210
NodeCovid	8021	indication	protein	covid-19	NUP214
NodeCovid	53371	indication	protein	covid-19	NUP54
NodeCovid	23636	indication	protein	covid-19	NUP62
NodeCovid	4927	indication	protein	covid-19	NUP88
NodeCovid	4928	indication	protein	covid-19	NUP98
NodeCovid	10204	indication	protein	covid-19	NUTF2
NodeCovid	10956	indication	protein	covid-19	OS9
NodeCovid	26986	indication	protein	covid-19	PABPC1
NodeCovid	8761	indication	protein	covid-19	PABPC4
NodeCovid	5116	indication	protein	covid-19	PCNT
NodeCovid	5046	indication	protein	covid-19	PCSK6
NodeCovid	9659	indication	protein	covid-19	PDE4DIP
NodeCovid	51248	indication	protein	covid-19	PDZD11
NodeCovid	84720	indication	protein	covid-19	PIGO
NodeCovid	94005	indication	protein	covid-19	PIGS
NodeCovid	10531	indication	protein	covid-19	PITRM1
NodeCovid	5318	indication	protein	covid-19	PKP2
NodeCovid	5327	indication	protein	covid-19	PLAT
NodeCovid	23646	indication	protein	covid-19	PLD3
NodeCovid	54477	indication	protein	covid-19	PLEKHA5
NodeCovid	79666	indication	protein	covid-19	PLEKHF2
NodeCovid	5352	indication	protein	covid-19	PLOD2
NodeCovid	23203	indication	protein	covid-19	PMPCA
NodeCovid	9512	indication	protein	covid-19	PMPCB
NodeCovid	23509	indication	protein	covid-19	POFUT1
NodeCovid	5422	indication	protein	covid-19	POLA1
NodeCovid	23649	indication	protein	covid-19	POLA2
NodeCovid	5447	indication	protein	covid-19	POR
NodeCovid	53938	indication	protein	covid-19	PPIL3
NodeCovid	5538	indication	protein	covid-19	PPT1
NodeCovid	5557	indication	protein	covid-19	PRIM1
NodeCovid	5558	indication	protein	covid-19	PRIM2
NodeCovid	5566	indication	protein	covid-19	PRKACA
NodeCovid	5576	indication	protein	covid-19	PRKAR2A
NodeCovid	5577	indication	protein	covid-19	PRKAR2B
NodeCovid	84726	indication	protein	covid-19	PRRC2B
NodeCovid	5714	indication	protein	covid-19	PSMD8
NodeCovid	58155	indication	protein	covid-19	PTBP2
NodeCovid	80142	indication	protein	covid-19	PTGES2
NodeCovid	126789	indication	protein	covid-19	PUSL1
NodeCovid	5817	indication	protein	covid-19	PVR
NodeCovid	169714	indication	protein	covid-19	QSOX2
NodeCovid	10890	indication	protein	covid-19	RAB10
NodeCovid	51552	indication	protein	covid-19	RAB14
NodeCovid	22931	indication	protein	covid-19	RAB18
NodeCovid	5861	indication	protein	covid-19	RAB1A
NodeCovid	5862	indication	protein	covid-19	RAB2A
NodeCovid	5878	indication	protein	covid-19	RAB5C
NodeCovid	7879	indication	protein	covid-19	RAB7A
NodeCovid	4218	indication	protein	covid-19	RAB8A
NodeCovid	8480	indication	protein	covid-19	RAE1
NodeCovid	5898	indication	protein	covid-19	RALA
NodeCovid	5910	indication	protein	covid-19	RAP1GDS1
NodeCovid	55131	indication	protein	covid-19	RBM28
NodeCovid	55285	indication	protein	covid-19	RBM41
NodeCovid	9978	indication	protein	covid-19	RBX1
NodeCovid	5962	indication	protein	covid-19	RDX
NodeCovid	7905	indication	protein	covid-19	REEP5
NodeCovid	92840	indication	protein	covid-19	REEP6
NodeCovid	162427	indication	protein	covid-19	RETREG3
NodeCovid	387	indication	protein	covid-19	RHOA
NodeCovid	8737	indication	protein	covid-19	RIPK1
NodeCovid	10193	indication	protein	covid-19	RNF41
NodeCovid	25873	indication	protein	covid-19	RPL36
NodeCovid	9136	indication	protein	covid-19	RRP9
NodeCovid	57142	indication	protein	covid-19	RTN4
NodeCovid	113174	indication	protein	covid-19	SAAL1
NodeCovid	22937	indication	protein	covid-19	SCAP
NodeCovid	949	indication	protein	covid-19	SCARB1
NodeCovid	51097	indication	protein	covid-19	SCCPDH
NodeCovid	6388	indication	protein	covid-19	SDF2
NodeCovid	10280	indication	protein	covid-19	SIGMAR1
NodeCovid	64374	indication	protein	covid-19	SIL1
NodeCovid	23408	indication	protein	covid-19	SIRT5
NodeCovid	89874	indication	protein	covid-19	SLC25A21
NodeCovid	11001	indication	protein	covid-19	SLC27A2
NodeCovid	55676	indication	protein	covid-19	SLC30A6
NodeCovid	148867	indication	protein	covid-19	SLC30A7
NodeCovid	10463	indication	protein	covid-19	SLC30A9
NodeCovid	9368	indication	protein	covid-19	SLC9A3R1
NodeCovid	10569	indication	protein	covid-19	SLU7
NodeCovid	64093	indication	protein	covid-19	SMOC1
NodeCovid	79753	indication	protein	covid-19	SNIP1
NodeCovid	6728	indication	protein	covid-19	SRP19
NodeCovid	6729	indication	protein	covid-19	SRP54
NodeCovid	6731	indication	protein	covid-19	SRP72
NodeCovid	8614	indication	protein	covid-19	STC2
NodeCovid	2040	indication	protein	covid-19	STOM
NodeCovid	30968	indication	protein	covid-19	STOML2
NodeCovid	25777	indication	protein	covid-19	SUN2
NodeCovid	202018	indication	protein	covid-19	TAPT1
NodeCovid	80222	indication	protein	covid-19	TARS2
NodeCovid	29110	indication	protein	covid-19	TBK1
NodeCovid	9755	indication	protein	covid-19	TBKBP1
NodeCovid	6938	indication	protein	covid-19	TCF12
NodeCovid	79178	indication	protein	covid-19	THTPA
NodeCovid	26519	indication	protein	covid-19	TIMM10
NodeCovid	26521	indication	protein	covid-19	TIMM8B
NodeCovid	26520	indication	protein	covid-19	TIMM9
NodeCovid	7088	indication	protein	covid-19	TLE1
NodeCovid	7090	indication	protein	covid-19	TLE3
NodeCovid	80213	indication	protein	covid-19	TM2D3
NodeCovid	55116	indication	protein	covid-19	TMEM39B
NodeCovid	27346	indication	protein	covid-19	TMEM97
NodeCovid	9868	indication	protein	covid-19	TOMM70
NodeCovid	1861	indication	protein	covid-19	TOR1A
NodeCovid	26092	indication	protein	covid-19	TOR1AIP1
NodeCovid	286827	indication	protein	covid-19	TRIM59
NodeCovid	55621	indication	protein	covid-19	TRMT1
NodeCovid	10844	indication	protein	covid-19	TUBGCP2
NodeCovid	10426	indication	protein	covid-19	TUBGCP3
NodeCovid	219743	indication	protein	covid-19	TYSND1
NodeCovid	55833	indication	protein	covid-19	UBAP2
NodeCovid	9898	indication	protein	covid-19	UBAP2L
NodeCovid	7993	indication	protein	covid-19	UBXN8
NodeCovid	55757	indication	protein	covid-19	UGGT2
NodeCovid	5976	indication	protein	covid-19	UPF1
NodeCovid	8975	indication	protein	covid-19	USP13
NodeCovid	159195	indication	protein	covid-19	USP54
NodeCovid	55823	indication	protein	covid-19	VPS11
NodeCovid	23339	indication	protein	covid-19	VPS39
NodeCovid	7466	indication	protein	covid-19	WFS1
NodeCovid	10897	indication	protein	covid-19	YIF1A
NodeCovid	124245	indication	protein	covid-19	ZC3H18
NodeCovid	29066	indication	protein	covid-19	ZC3H7A
NodeCovid	25921	indication	protein	covid-19	ZDHHC5
NodeCovid	24149	indication	protein	covid-19	ZNF318
NodeCovid	79699	indication	protein	covid-19	ZYG11B
