node_1	node_2	node_1_type	node_2_type	node_1_name	node_2_name
GO:0000002	GO:0007005	functional_pathway	functional_pathway	mitochondrial genome maintenance	mitochondrion organization
GO:0007005	GO:0006996	functional_pathway	functional_pathway	mitochondrion organization	organelle organization
GO:0000003	GO:0008150	functional_pathway	functional_pathway	reproduction	biological_process
GO:0000012	GO:0006281	functional_pathway	functional_pathway	single strand break repair	DNA repair
GO:0006281	GO:0006259	functional_pathway	functional_pathway	DNA repair	DNA metabolic process
GO:0006281	GO:0006974	functional_pathway	functional_pathway	DNA repair	cellular response to DNA damage stimulus
GO:0000018	GO:0006310	functional_pathway	functional_pathway	regulation of DNA recombination	DNA recombination
GO:0000018	GO:0051052	functional_pathway	functional_pathway	regulation of DNA recombination	regulation of DNA metabolic process
GO:0006310	GO:0006259	functional_pathway	functional_pathway	DNA recombination	DNA metabolic process
GO:0051052	GO:0006259	functional_pathway	functional_pathway	regulation of DNA metabolic process	DNA metabolic process
GO:0051052	GO:0019219	functional_pathway	functional_pathway	regulation of DNA metabolic process	regulation of nucleobase-containing compound metabolic process
GO:0051052	GO:0060255	functional_pathway	functional_pathway	regulation of DNA metabolic process	regulation of macromolecule metabolic process
GO:0000019	GO:0006312	functional_pathway	functional_pathway	regulation of mitotic recombination	mitotic recombination
GO:0000019	GO:0000018	functional_pathway	functional_pathway	regulation of mitotic recombination	regulation of DNA recombination
GO:0006312	GO:0006310	functional_pathway	functional_pathway	mitotic recombination	DNA recombination
GO:0000027	GO:0042255	functional_pathway	functional_pathway	ribosomal large subunit assembly	ribosome assembly
GO:0000027	GO:0042273	functional_pathway	functional_pathway	ribosomal large subunit assembly	ribosomal large subunit biogenesis
GO:0000027	GO:0022618	functional_pathway	functional_pathway	ribosomal large subunit assembly	ribonucleoprotein complex assembly
GO:0042255	GO:0042254	functional_pathway	functional_pathway	ribosome assembly	ribosome biogenesis
GO:0042255	GO:0070925	functional_pathway	functional_pathway	ribosome assembly	organelle assembly
GO:0042255	GO:0022618	functional_pathway	functional_pathway	ribosome assembly	ribonucleoprotein complex assembly
GO:0042273	GO:0042254	functional_pathway	functional_pathway	ribosomal large subunit biogenesis	ribosome biogenesis
GO:0042273	GO:0022613	functional_pathway	functional_pathway	ribosomal large subunit biogenesis	ribonucleoprotein complex biogenesis
GO:0022618	GO:0022613	functional_pathway	functional_pathway	ribonucleoprotein complex assembly	ribonucleoprotein complex biogenesis
GO:0022618	GO:0071826	functional_pathway	functional_pathway	ribonucleoprotein complex assembly	ribonucleoprotein complex subunit organization
GO:0022618	GO:0034622	functional_pathway	functional_pathway	ribonucleoprotein complex assembly	cellular macromolecular complex assembly
GO:0000028	GO:0042255	functional_pathway	functional_pathway	ribosomal small subunit assembly	ribosome assembly
GO:0000028	GO:0042274	functional_pathway	functional_pathway	ribosomal small subunit assembly	ribosomal small subunit biogenesis
GO:0000028	GO:0022618	functional_pathway	functional_pathway	ribosomal small subunit assembly	ribonucleoprotein complex assembly
GO:0042274	GO:0042254	functional_pathway	functional_pathway	ribosomal small subunit biogenesis	ribosome biogenesis
GO:0042274	GO:0022613	functional_pathway	functional_pathway	ribosomal small subunit biogenesis	ribonucleoprotein complex biogenesis
GO:0000038	GO:0006631	functional_pathway	functional_pathway	very long-chain fatty acid metabolic process	fatty acid metabolic process
GO:0006631	GO:0044255	functional_pathway	functional_pathway	fatty acid metabolic process	cellular lipid metabolic process
GO:0006631	GO:0032787	functional_pathway	functional_pathway	fatty acid metabolic process	monocarboxylic acid metabolic process
GO:0000041	GO:0030001	functional_pathway	functional_pathway	transition metal ion transport	metal ion transport
GO:0030001	GO:0006812	functional_pathway	functional_pathway	metal ion transport	cation transport
GO:0000045	GO:0070925	functional_pathway	functional_pathway	autophagosome assembly	organelle assembly
GO:0000045	GO:1905037	functional_pathway	functional_pathway	autophagosome assembly	autophagosome organization
