Bait	Preys	PreyGene
SARS-CoV2 E	O00203	AP3B1
SARS-CoV2 E	O60885	BRD4
SARS-CoV2 E	P25440	BRD2
SARS-CoV2 E	Q6UX04	CWC27
SARS-CoV2 E	Q86VM9	ZC3H18
SARS-CoV2 E	Q8IWA5	SLC44A2
SARS-CoV2 M	O75439	PMPCB
SARS-CoV2 M	O95070	YIF1A
SARS-CoV2 M	P05026	ATP1B1
SARS-CoV2 M	P11310	ACADM
SARS-CoV2 M	P13804	ETFA
SARS-CoV2 M	P27105	STOM
SARS-CoV2 M	P38435	GGCX
SARS-CoV2 M	P38606	ATP6V1A
SARS-CoV2 M	P48556	PSMD8
SARS-CoV2 M	Q00765	REEP5
SARS-CoV2 M	Q10713	PMPCA
SARS-CoV2 M	Q4KMQ2	ANO6
SARS-CoV2 M	Q5JRX3	PITRM1
SARS-CoV2 M	Q6PML9	SLC30A9
SARS-CoV2 M	Q7L8L6	FASTKD5
SARS-CoV2 M	Q8NEW0	SLC30A7
SARS-CoV2 M	Q96CW5	TUBGCP3
SARS-CoV2 M	Q96D53	COQ8B
SARS-CoV2 M	Q96ER3	SAAL1
SARS-CoV2 M	Q96HR9	REEP6
SARS-CoV2 M	Q96HW7	INTS4
SARS-CoV2 M	Q9BQT8	SLC25A21
SARS-CoV2 M	Q9BSJ2	TUBGCP2
SARS-CoV2 M	Q9BW92	TARS2
SARS-CoV2 M	Q9NQC3	RTN4
SARS-CoV2 M	Q9UBU6	FAM8A1
SARS-CoV2 M	Q9UDR5	AASS
SARS-CoV2 M	Q9ULX6	AKAP8L
SARS-CoV2 M	Q9Y312	AAR2
SARS-CoV2 M	Q9Y6E2	BZW2
SARS-CoV2 N	O43818	RRP9
SARS-CoV2 N	P11940	PABPC1
SARS-CoV2 N	P19784	CSNK2A2
SARS-CoV2 N	P67870	CSNK2B
SARS-CoV2 N	Q13283	G3BP1
SARS-CoV2 N	Q13310	PABPC4
SARS-CoV2 N	Q6PKG0	LARP1
SARS-CoV2 N	Q8NCA5	FAM98A
SARS-CoV2 N	Q8TAD8	SNIP1
SARS-CoV2 N	Q92900	UPF1
SARS-CoV2 N	Q9HCE1	MOV10
SARS-CoV2 N	Q9UN86	G3BP2
SARS-CoV2 N	Q9NR30	DDX21
SARS-CoV2 N	Q9NW13	RBM28
SARS-CoV2 N	Q9Y3U8	RPL36
SARS-CoV2 Spike	Q7Z5G4	GOLGA7
SARS-CoV2 Spike	Q9C0B5	ZDHHC5
SARS-CoV2 nsp1	P09884	POLA1
SARS-CoV2 nsp1	P49642	PRIM1
SARS-CoV2 nsp1	P49643	PRIM2
SARS-CoV2 nsp1	Q14181	POLA2
SARS-CoV2 nsp1	Q8NBJ5	COLGALT1
SARS-CoV2 nsp1	Q99959	PKP2
SARS-CoV2 nsp10	O94973	AP2A2
SARS-CoV2 nsp10	P55789	GFER
SARS-CoV2 nsp10	Q969X5	ERGIC1
SARS-CoV2 nsp10	Q96CW1	AP2M1
SARS-CoV2 nsp10	Q9HAV7	GRPEL1
SARS-CoV2 nsp11	O75347	TBCA
SARS-CoV2 nsp12	A3KN83	SBNO1
SARS-CoV2 nsp12	O14874	BCKDK
SARS-CoV2 nsp12	O43823	AKAP8
SARS-CoV2 nsp12	O75592	MYCBP2
SARS-CoV2 nsp12	O95391	SLU7
SARS-CoV2 nsp12	Q13546	RIPK1
SARS-CoV2 nsp12	Q14157	UBAP2L
SARS-CoV2 nsp12	Q2T9J0	TYSND1
SARS-CoV2 nsp12	Q5EBL8	PDZD11
SARS-CoV2 nsp12	Q5JSZ5	PRRC2B
SARS-CoV2 nsp12	Q5T6F2	UBAP2
SARS-CoV2 nsp12	Q5VUA4	ZNF318
SARS-CoV2 nsp12	Q6UUV7	CRTC3
SARS-CoV2 nsp12	Q70EL1	USP54
SARS-CoV2 nsp12	Q8IWR0	ZC3H7A
