node_1	node_2	node_1_type	node_2_type	node_1_name	node_2_name
1890	GO:0000002	protein	functional_pathway	TYMP	mitochondrial genome maintenance
4358	GO:0000002	protein	functional_pathway	MPV17	mitochondrial genome maintenance
4976	GO:0000002	protein	functional_pathway	OPA1	mitochondrial genome maintenance
10000	GO:0000002	protein	functional_pathway	AKT3	mitochondrial genome maintenance
55186	GO:0000002	protein	functional_pathway	SLC25A36	mitochondrial genome maintenance
84275	GO:0000002	protein	functional_pathway	SLC25A33	mitochondrial genome maintenance
92667	GO:0000002	protein	functional_pathway	MGME1	mitochondrial genome maintenance
142	GO:0007005	protein	functional_pathway	PARP1	mitochondrion organization
617	GO:0007005	protein	functional_pathway	BCS1L	mitochondrion organization
1981	GO:0007005	protein	functional_pathway	EIF4G1	mitochondrion organization
2189	GO:0007005	protein	functional_pathway	FANCG	mitochondrion organization
3028	GO:0007005	protein	functional_pathway	HSD17B10	mitochondrion organization
4976	GO:0007005	protein	functional_pathway	OPA1	mitochondrion organization
5245	GO:0007005	protein	functional_pathway	PHB	mitochondrion organization
7015	GO:0007005	protein	functional_pathway		mitochondrion organization
8834	GO:0007005	protein	functional_pathway	TMEM11	mitochondrion organization
8934	GO:0007005	protein	functional_pathway	RAB29	mitochondrion organization
9361	GO:0007005	protein	functional_pathway	LONP1	mitochondrion organization
10059	GO:0007005	protein	functional_pathway	DNM1L	mitochondrion organization
10730	GO:0007005	protein	functional_pathway	YME1L1	mitochondrion organization
10935	GO:0007005	protein	functional_pathway	PRDX3	mitochondrion organization
10981	GO:0007005	protein	functional_pathway	RAB32	mitochondrion organization
11331	GO:0007005	protein	functional_pathway	PHB2	mitochondrion organization
23277	GO:0007005	protein	functional_pathway	CLUH	mitochondrion organization
23682	GO:0007005	protein	functional_pathway	RAB38	mitochondrion organization
30968	GO:0007005	protein	functional_pathway	STOML2	mitochondrion organization
54832	GO:0007005	protein	functional_pathway	VPS13C	mitochondrion organization
55154	GO:0007005	protein	functional_pathway	MSTO1	mitochondrion organization
55186	GO:0007005	protein	functional_pathway	SLC25A36	mitochondrion organization
65018	GO:0007005	protein	functional_pathway	PINK1	mitochondrion organization
84275	GO:0007005	protein	functional_pathway	SLC25A33	mitochondrion organization
120892	GO:0007005	protein	functional_pathway	LRRK2	mitochondrion organization
125170	GO:0007005	protein	functional_pathway	MIEF2	mitochondrion organization
246269	GO:0007005	protein	functional_pathway	AFG1L	mitochondrion organization
400916	GO:0007005	protein	functional_pathway	CHCHD10	mitochondrion organization
3981	GO:0000012	protein	functional_pathway	LIG4	single strand break repair
7141	GO:0000012	protein	functional_pathway	TNP1	single strand break repair
23411	GO:0000012	protein	functional_pathway	SIRT1	single strand break repair
54840	GO:0000012	protein	functional_pathway	APTX	single strand break repair
55775	GO:0000012	protein	functional_pathway	TDP1	single strand break repair
200558	GO:0000012	protein	functional_pathway	APLF	single strand break repair
328	GO:0006281	protein	functional_pathway	APEX1	DNA repair
571	GO:0006281	protein	functional_pathway	BACH1	DNA repair
1111	GO:0006281	protein	functional_pathway	CHEK1	DNA repair
1137	GO:0006281	protein	functional_pathway	CHRNA4	DNA repair
2067	GO:0006281	protein	functional_pathway	ERCC1	DNA repair
2071	GO:0006281	protein	functional_pathway	ERCC3	DNA repair
2072	GO:0006281	protein	functional_pathway	ERCC4	DNA repair
2956	GO:0006281	protein	functional_pathway	MSH6	DNA repair
4436	GO:0006281	protein	functional_pathway	MSH2	DNA repair
4437	GO:0006281	protein	functional_pathway	MSH3	DNA repair
4869	GO:0006281	protein	functional_pathway	NPM1	DNA repair
5422	GO:0006281	protein	functional_pathway	POLA1	DNA repair
5889	GO:0006281	protein	functional_pathway	RAD51C	DNA repair
5976	GO:0006281	protein	functional_pathway	UPF1	DNA repair
6117	GO:0006281	protein	functional_pathway	RPA1	DNA repair
7319	GO:0006281	protein	functional_pathway	UBE2A	DNA repair
7320	GO:0006281	protein	functional_pathway	UBE2B	DNA repair
7405	GO:0006281	protein	functional_pathway	UVRAG	DNA repair
7507	GO:0006281	protein	functional_pathway	XPA	DNA repair
7516	GO:0006281	protein	functional_pathway	XRCC2	DNA repair
7517	GO:0006281	protein	functional_pathway	XRCC3	DNA repair
8846	GO:0006281	protein	functional_pathway	ALKBH1	DNA repair
9400	GO:0006281	protein	functional_pathway	RECQL5	DNA repair
9960	GO:0006281	protein	functional_pathway	USP3	DNA repair
10111	GO:0006281	protein	functional_pathway	RAD50	DNA repair
10155	GO:0006281	protein	functional_pathway	TRIM28	DNA repair
11284	GO:0006281	protein	functional_pathway	PNKP	DNA repair
11315	GO:0006281	protein	functional_pathway	PARK7	DNA repair
22890	GO:0006281	protein	functional_pathway	ZBTB1	DNA repair
22909	GO:0006281	protein	functional_pathway	FAN1	DNA repair
25842	GO:0006281	protein	functional_pathway	ASF1A	DNA repair
25988	GO:0006281	protein	functional_pathway	HINFP	DNA repair
29089	GO:0006281	protein	functional_pathway	UBE2T	DNA repair
29997	GO:0006281	protein	functional_pathway	NOP53	DNA repair
55120	GO:0006281	protein	functional_pathway	FANCL	DNA repair
55775	GO:0006281	protein	functional_pathway	TDP1	DNA repair
56160	GO:0006281	protein	functional_pathway	NSMCE3	DNA repair
58493	GO:0006281	protein	functional_pathway	INIP	DNA repair
64210	GO:0006281	protein	functional_pathway	MMS19	DNA repair
64859	GO:0006281	protein	functional_pathway	NABP1	DNA repair
65123	GO:0006281	protein	functional_pathway	INTS3	DNA repair
79008	GO:0006281	protein	functional_pathway	SLX1B	DNA repair
79035	GO:0006281	protein	functional_pathway	NABP2	DNA repair
80198	GO:0006281	protein	functional_pathway	MUS81	DNA repair
84083	GO:0006281	protein	functional_pathway	ZRANB3	DNA repair
84464	GO:0006281	protein	functional_pathway	SLX4	DNA repair
84939	GO:0006281	protein	functional_pathway	MUM1	DNA repair
85015	GO:0006281	protein	functional_pathway	USP45	DNA repair
221120	GO:0006281	protein	functional_pathway	ALKBH3	DNA repair
378708	GO:0006281	protein	functional_pathway	CENPS	DNA repair
548593	GO:0006281	protein	functional_pathway	SLX1A	DNA repair
9984	GO:0000018	protein	functional_pathway	THOC1	regulation of DNA recombination
10189	GO:0000018	protein	functional_pathway	ALYREF	regulation of DNA recombination
2067	GO:0006310	protein	functional_pathway	ERCC1	DNA recombination
5889	GO:0006310	protein	functional_pathway	RAD51C	DNA recombination
5893	GO:0006310	protein	functional_pathway	RAD52	DNA recombination
6832	GO:0006310	protein	functional_pathway	SUPV3L1	DNA recombination
9156	GO:0006310	protein	functional_pathway	EXO1	DNA recombination
10111	GO:0006310	protein	functional_pathway	RAD50	DNA recombination
79725	GO:0006310	protein	functional_pathway	THAP9	DNA recombination
10111	GO:0000019	protein	functional_pathway	RAD50	regulation of mitotic recombination
2067	GO:0006312	protein	functional_pathway	ERCC1	mitotic recombination
4839	GO:0000027	protein	functional_pathway	NOP2	ribosomal large subunit assembly
6125	GO:0000027	protein	functional_pathway	RPL5	ribosomal large subunit assembly
6135	GO:0000027	protein	functional_pathway	RPL11	ribosomal large subunit assembly
23212	GO:0000027	protein	functional_pathway	RRS1	ribosomal large subunit assembly
23246	GO:0000027	protein	functional_pathway	BOP1	ribosomal large subunit assembly
29997	GO:0000027	protein	functional_pathway	NOP53	ribosomal large subunit assembly
83939	GO:0042255	protein	functional_pathway	EIF2A	ribosome assembly
2971	GO:0042273	protein	functional_pathway	GTF3A	ribosomal large subunit biogenesis
6125	GO:0042273	protein	functional_pathway	RPL5	ribosomal large subunit biogenesis
6129	GO:0042273	protein	functional_pathway	RPL7	ribosomal large subunit biogenesis
6135	GO:0042273	protein	functional_pathway	RPL11	ribosomal large subunit biogenesis
6154	GO:0042273	protein	functional_pathway	RPL26	ribosomal large subunit biogenesis
6165	GO:0042273	protein	functional_pathway	RPL35A	ribosomal large subunit biogenesis
9045	GO:0042273	protein	functional_pathway	RPL14	ribosomal large subunit biogenesis
23212	GO:0042273	protein	functional_pathway	RRS1	ribosomal large subunit biogenesis
55003	GO:0042273	protein	functional_pathway	PAK1IP1	ribosomal large subunit biogenesis
84154	GO:0042273	protein	functional_pathway	RPF2	ribosomal large subunit biogenesis
115416	GO:0042273	protein	functional_pathway	MALSU1	ribosomal large subunit biogenesis
55164	GO:0022618	protein	functional_pathway	SHQ1	ribonucleoprotein complex assembly
6208	GO:0000028	protein	functional_pathway	RPS14	ribosomal small subunit assembly
6223	GO:0000028	protein	functional_pathway	RPS19	ribosomal small subunit assembly
26284	GO:0000028	protein	functional_pathway	ERAL1	ribosomal small subunit assembly
6194	GO:0042274	protein	functional_pathway	RPS6	ribosomal small subunit biogenesis
6201	GO:0042274	protein	functional_pathway	RPS7	ribosomal small subunit biogenesis
6209	GO:0042274	protein	functional_pathway	RPS15	ribosomal small subunit biogenesis
6217	GO:0042274	protein	functional_pathway	RPS16	ribosomal small subunit biogenesis
6218	GO:0042274	protein	functional_pathway	RPS17	ribosomal small subunit biogenesis
6223	GO:0042274	protein	functional_pathway	RPS19	ribosomal small subunit biogenesis
6229	GO:0042274	protein	functional_pathway	RPS24	ribosomal small subunit biogenesis
6234	GO:0042274	protein	functional_pathway	RPS28	ribosomal small subunit biogenesis
55781	GO:0042274	protein	functional_pathway	RIOK2	ribosomal small subunit biogenesis
83732	GO:0042274	protein	functional_pathway	RIOK1	ribosomal small subunit biogenesis
88745	GO:0042274	protein	functional_pathway	RRP36	ribosomal small subunit biogenesis
30	GO:0000038	protein	functional_pathway	ACAA1	very long-chain fatty acid metabolic process
51	GO:0000038	protein	functional_pathway	ACOX1	very long-chain fatty acid metabolic process
225	GO:0000038	protein	functional_pathway	ABCD2	very long-chain fatty acid metabolic process
5828	GO:0000038	protein	functional_pathway	PEX2	very long-chain fatty acid metabolic process
8529	GO:0000038	protein	functional_pathway	CYP4F2	very long-chain fatty acid metabolic process
10965	GO:0000038	protein	functional_pathway	ACOT2	very long-chain fatty acid metabolic process
10998	GO:0000038	protein	functional_pathway	SLC27A5	very long-chain fatty acid metabolic process
23205	GO:0000038	protein	functional_pathway	ACSBG1	very long-chain fatty acid metabolic process
122970	GO:0000038	protein	functional_pathway	ACOT4	very long-chain fatty acid metabolic process
641371	GO:0000038	protein	functional_pathway	ACOT1	very long-chain fatty acid metabolic process
2678	GO:0006631	protein	functional_pathway	GGT1	fatty acid metabolic process
2687	GO:0006631	protein	functional_pathway	GGT5	fatty acid metabolic process
8879	GO:0006631	protein	functional_pathway	SGPL1	fatty acid metabolic process
27329	GO:0006631	protein	functional_pathway	ANGPTL3	fatty acid metabolic process
50640	GO:0006631	protein	functional_pathway	PNPLA8	fatty acid metabolic process
51102	GO:0006631	protein	functional_pathway	MECR	fatty acid metabolic process
54677	GO:0006631	protein	functional_pathway	CROT	fatty acid metabolic process
57834	GO:0006631	protein	functional_pathway	CYP4F11	fatty acid metabolic process
81616	GO:0006631	protein	functional_pathway	ACSBG2	fatty acid metabolic process
117145	GO:0006631	protein	functional_pathway	THEM4	fatty acid metabolic process
197322	GO:0006631	protein	functional_pathway	ACSF3	fatty acid metabolic process
4036	GO:0030001	protein	functional_pathway	LRP2	metal ion transport
5861	GO:0000045	protein	functional_pathway	RAB1A	autophagosome assembly
7879	GO:0000045	protein	functional_pathway	RAB7A	autophagosome assembly
9776	GO:0000045	protein	functional_pathway	ATG13	autophagosome assembly
22863	GO:0000045	protein	functional_pathway	ATG14	autophagosome assembly
23192	GO:0000045	protein	functional_pathway	ATG4B	autophagosome assembly
23241	GO:0000045	protein	functional_pathway	PACS2	autophagosome assembly
23673	GO:0000045	protein	functional_pathway	STX12	autophagosome assembly
26100	GO:0000045	protein	functional_pathway	WIPI2	autophagosome assembly
29979	GO:0000045	protein	functional_pathway	UBQLN1	autophagosome assembly
51715	GO:0000045	protein	functional_pathway	RAB23	autophagosome assembly
55626	GO:0000045	protein	functional_pathway	AMBRA1	autophagosome assembly
57535	GO:0000045	protein	functional_pathway	KIAA1324	autophagosome assembly
58476	GO:0000045	protein	functional_pathway	TP53INP2	autophagosome assembly
60673	GO:0000045	protein	functional_pathway	ATG101	autophagosome assembly
79065	GO:0000045	protein	functional_pathway	ATG9A	autophagosome assembly
83460	GO:0000045	protein	functional_pathway	EMC6	autophagosome assembly
84557	GO:0000045	protein	functional_pathway	MAP1LC3A	autophagosome assembly
84938	GO:0000045	protein	functional_pathway	ATG4C	autophagosome assembly
285973	GO:0000045	protein	functional_pathway	ATG9B	autophagosome assembly
345611	GO:0000045	protein	functional_pathway	IRGM	autophagosome assembly
8417	GO:0070925	protein	functional_pathway	STX7	organelle assembly
23400	GO:1905037	protein	functional_pathway	ATP13A2	autophagosome organization
445	GO:0000050	protein	functional_pathway	ASS1	urea cycle
5009	GO:0000050	protein	functional_pathway	OTC	urea cycle
148811	GO:0043604	protein	functional_pathway	PM20D1	amide biosynthetic process
1559	GO:0019627	protein	functional_pathway	CYP2C9	urea metabolic process
445	GO:0000052	protein	functional_pathway	ASS1	citrulline metabolic process
23564	GO:0000052	protein	functional_pathway	DDAH2	citrulline metabolic process
23576	GO:0000052	protein	functional_pathway	DDAH1	citrulline metabolic process
445	GO:0000053	protein	functional_pathway	ASS1	argininosuccinate metabolic process
7514	GO:0000054	protein	functional_pathway	XPO1	ribosomal subunit export from nucleus
4931	GO:0042254	protein	functional_pathway	NVL	ribosome biogenesis
6234	GO:0042254	protein	functional_pathway	RPS28	ribosome biogenesis
7514	GO:0042254	protein	functional_pathway	XPO1	ribosome biogenesis
26149	GO:0042254	protein	functional_pathway	ZNF658	ribosome biogenesis
64794	GO:0042254	protein	functional_pathway	DDX31	ribosome biogenesis
92345	GO:0042254	protein	functional_pathway	NAF1	ribosome biogenesis
5901	GO:0000055	protein	functional_pathway	RAN	ribosomal large subunit export from nucleus
7514	GO:0000055	protein	functional_pathway	XPO1	ribosomal large subunit export from nucleus
51068	GO:0000055	protein	functional_pathway	NMD3	ribosomal large subunit export from nucleus
5901	GO:0000056	protein	functional_pathway	RAN	ribosomal small subunit export from nucleus
6209	GO:0000056	protein	functional_pathway	RPS15	ribosomal small subunit export from nucleus
7514	GO:0000056	protein	functional_pathway	XPO1	ribosomal small subunit export from nucleus
207	GO:0000060	protein	functional_pathway	AKT1	protein import into nucleus, translocation
602	GO:0000060	protein	functional_pathway	BCL3	protein import into nucleus, translocation
604	GO:0000060	protein	functional_pathway	BCL6	protein import into nucleus, translocation
3458	GO:0000060	protein	functional_pathway	IFNG	protein import into nucleus, translocation
4504	GO:0000060	protein	functional_pathway	MT3	protein import into nucleus, translocation
4985	GO:0000060	protein	functional_pathway	OPRD1	protein import into nucleus, translocation
4991	GO:0000060	protein	functional_pathway	OR1D2	protein import into nucleus, translocation
5901	GO:0000060	protein	functional_pathway	RAN	protein import into nucleus, translocation
7040	GO:0000060	protein	functional_pathway	TGFB1	protein import into nucleus, translocation
7124	GO:0000060	protein	functional_pathway	TNF	protein import into nucleus, translocation
8644	GO:0000060	protein	functional_pathway	AKR1C3	protein import into nucleus, translocation
10204	GO:0000060	protein	functional_pathway	NUTF2	protein import into nucleus, translocation
10952	GO:0000060	protein	functional_pathway	SEC61B	protein import into nucleus, translocation
11331	GO:0000060	protein	functional_pathway	PHB2	protein import into nucleus, translocation
55696	GO:0000060	protein	functional_pathway	RBM22	protein import into nucleus, translocation
754	GO:0006606	protein	functional_pathway	PTTG1IP	protein import into nucleus
3837	GO:0006606	protein	functional_pathway	KPNB1	protein import into nucleus
4321	GO:0006606	protein	functional_pathway	MMP12	protein import into nucleus
5901	GO:0006606	protein	functional_pathway	RAN	protein import into nucleus
6774	GO:0006606	protein	functional_pathway	STAT3	protein import into nucleus
9670	GO:0006606	protein	functional_pathway	IPO13	protein import into nucleus
