protein name	proximity to Covid-19	shortest path to Covid-19	path length
ACVR1	-0.07097078775846	ACVR1, fostamatinib, RIPK1, covid-19	3
PML	-0.09356168526117405	PML, HDAC2, covid-19	2
STAT3	0.05168211965724206	STAT3, HDAC2, covid-19	2
ARF1	0.16933765675182078	ARF1, AAR2, covid-19	2
ALDOA	0.007340407552792784	ALDOA, AAR2, covid-19	2
APP	-0.07637592681702227	APP, CSNK2A2, covid-19	2
APLP1	0.0019857123991550985	APLP1, CSNK2B, covid-19	2
MTTP	0.05444560045251985	MTTP, P4HB, CUL2, covid-19	3
CSF1R	0.04454998447242114	CSF1R, fostamatinib, RIPK1, covid-19	3
ADRB1	-0.07230639047853746	ADRB1, PRKACA, covid-19	2
GDNF	-0.04270064006664073	GDNF, CSNK2A2, covid-19	2
CACNA1C	0.21311653491024327	CACNA1C, PRKACA, covid-19	2
ITPR1	-0.1309082472079918	ITPR1, PRKACA, covid-19	2
CA8	-0.02123898794896304	CA8, STAT3, DNMT1, covid-19	3
CTNNB1	0.07349115404266192	CTNNB1, HDAC2, covid-19	2
RB1	-0.00537058792634694	RB1, POLA1, covid-19	2
CDKN1A	-0.24157653910374655	CDKN1A, HDAC2, covid-19	2
SLC25A15	0.2036743175902066	SLC25A15, EXOSC2, covid-19	2
CDK2	-0.06387841705180747	CDK2, POLA1, covid-19	2
HGS	-0.07397702746030049	HGS, CSNK2A2, covid-19	2
IGFBP3	-0.09727280033854413	IGFBP3, CSNK2A2, covid-19	2
COL1A1	-0.0759996720932575	COL1A1, ITGB1, covid-19	2
CAMLG	-0.06148318376303009	CAMLG, PPIB, OS9, covid-19	3
CSK	0.1096305946118027	CSK, PRKACA, covid-19	2
INSR	-0.027415969258969705	INSR, ARF6, covid-19	2
IGF1R	-0.057135250114924964	IGF1R, ITGB1, covid-19	2
DCN	0.11094756633465058	DCN, PLAT, covid-19	2
EGFR	-0.06472025988672658	EGFR, RIPK1, covid-19	2
PCNA	-0.04378503111841189	PCNA, POLA1, covid-19	2
TOP2B	-0.01989833447217966	TOP2B, POLA1, covid-19	2
EEF1A1	-0.15305547074164877	EEF1A1, ABCC1, covid-19	2
KDR	-0.05840691167300737	KDR, AAR2, covid-19	2
ESR1	0.02271182797415964	ESR1, HDAC2, covid-19	2
FGFR1	-0.05228711326308065	FGFR1, FAM8A1, covid-19	2
